case,hour_of_year,zone_idx,exterior_temp_c,expected_load_w,rel_err
Case650FF,5606,2,9.29669668068113,37.992201705864105,2.771423899149614e-08
Case650FF,5606,3,9.29669668068113,37.992201705864105,2.771423899149614e-08
Case650FF,5606,4,9.29669668068113,37.992201705864105,2.771423899149614e-08
Case650FF,5694,0,17.909830056250527,1.180212181522294,3.511146687191902e-08
Case650FF,5694,1,17.909830056250527,1.180212181522294,3.511146687191902e-08
Case650FF,5694,2,17.909830056250527,1.180212181522294,3.511146687191902e-08
Case650FF,5694,3,17.909830056250527,1.180212181522294,3.511146687191902e-08
Case650FF,5694,4,17.909830056250527,1.180212181522294,3.511146687191902e-08
Case650FF,5781,0,7.316386797910793,16.8923878814761,2.9086437339274025e-08
Case650FF,5781,1,7.316386797910793,16.8923878814761,2.9086437339274025e-08
Case650FF,5781,2,7.316386797910793,16.8923878814761,2.9086437339274025e-08
Case650FF,5781,3,7.316386797910793,16.8923878814761,2.9086437339274025e-08
Case650FF,5781,4,7.316386797910793,16.8923878814761,2.9086437339274025e-08
Case650FF,5869,0,9.68471010303729,41.09261663770237,9.666207006973776e-09
Case650FF,5869,1,9.68471010303729,41.09261663770237,9.666207006973776e-09
Case650FF,5869,2,9.68471010303729,41.09261663770237,9.666207006973776e-09
Case650FF,5869,3,9.68471010303729,41.09261663770237,9.666207006973776e-09
Case650FF,5869,4,9.68471010303729,41.09261663770237,9.666207006973776e-09
Case650FF,5956,0,16.150326538360872,23.276943160256764,1.998988676401776e-09
Case650FF,5956,1,16.150326538360872,23.276943160256764,1.998988676401776e-09
Case650FF,5956,2,16.150326538360872,23.276943160256764,1.998988676401776e-09
Case650FF,5956,3,16.150326538360872,23.276943160256764,1.998988676401776e-09
Case650FF,5956,4,16.150326538360872,23.276943160256764,1.998988676401776e-09
Case650FF,6044,0,5.507139263062827,0.0,0.0
Case650FF,6044,1,5.507139263062827,0.0,0.0
Case650FF,6044,2,5.507139263062827,0.0,0.0
Case650FF,6044,3,5.507139263062827,0.0,0.0
Case650FF,6044,4,5.507139263062827,0.0,0.0
Case650FF,6132,0,10.489434837048465,46.14087576664108,2.1745977593115393e-08
Case650FF,6132,1,10.489434837048465,46.14087576664108,2.1745977593115393e-08
Case650FF,6132,2,10.489434837048465,46.14087576664108,2.1745977593115393e-08
Case650FF,6132,3,10.489434837048465,46.14087576664108,2.1745977593115393e-08
Case650FF,6132,4,10.489434837048465,46.14087576664108,2.1745977593115393e-08
Case650FF,6219,0,14.55788022249177,39.20190232990034,4.713349347837344e-08
Case650FF,6219,1,14.55788022249177,39.20190232990034,4.713349347837344e-08
Case650FF,6219,2,14.55788022249177,39.20190232990034,4.713349347837344e-08
Case650FF,6219,3,14.55788022249177,39.20190232990034,4.713349347837344e-08
Case650FF,6219,4,14.55788022249177,39.20190232990034,4.713349347837344e-08
Case650FF,6307,0,4.381841437764759,0.0,0.0
Case650FF,6307,1,4.381841437764759,0.0,0.0
Case650FF,6307,2,4.381841437764759,0.0,0.0
Case650FF,6307,3,4.381841437764759,0.0,0.0
Case650FF,6307,4,4.381841437764759,0.0,0.0
Case650FF,6394,0,13.07957379081985,48.01624049449224,2.766215051170067e-08
Case650FF,6394,1,13.07957379081985,48.01624049449224,2.766215051170067e-08
Case650FF,6394,2,13.07957379081985,48.01624049449224,2.766215051170067e-08
Case650FF,6394,3,13.07957379081985,48.01624049449224,2.766215051170067e-08
Case650FF,6394,4,13.07957379081985,48.01624049449224,2.766215051170067e-08
Case650FF,6482,0,13.019913274630287,48.22817046770413,3.8038804792038206e-08
Case650FF,6482,1,13.019913274630287,48.22817046770413,3.8038804792038206e-08
Case650FF,6482,2,13.019913274630287,48.22817046770413,3.8038804792038206e-08
Case650FF,6482,3,13.019913274630287,48.22817046770413,3.8038804792038206e-08
Case650FF,6482,4,13.019913274630287,48.22817046770413,3.8038804792038206e-08
Case650FF,6570,0,4.0,0.0,0.0
Case650FF,6570,1,4.0,0.0,0.0
